Article_Code,Article_Name,Buyer_Reference,Article_Category
F0000077,Q2467-RECYCLED POLYESTER 55% POLYESTER 45%-57INCH,,Textiles/Fabric
F0000078,.-Q2300-RECYCLED POLYESTER 50% POLYESTER 50%-.-.,,Textiles/Fabric
F0000079,Q2128-RECYCLE PES 50% PES 50%-56INCH,,Textiles/Fabric
F0000080,.-Q7352-POLYESTER 95% ELASTANE 5%-.-.,,Textiles/Fabric
F0000081,.-Q3352-RECYCLE NYLON 60% NYLON 40%-.-.,,Textiles/Fabric
F0000082,.-Q2040-RECYCLE PES 55% POLYESTER 45%-.-.,,Textiles/Fabric
F0000083,.-Q2041-RECYCLE PES 55% POLYESTER 45%-.-.,,Textiles/Fabric
F0000084,.-Q2374-RECYCLE PES 55% POLYESTER 45%-.-.,,Textiles/Fabric
F0000085,.-Q2375-RECYCLE PES 55% POLYESTER 45%-.-.,,Textiles/Fabric
F0000086,.-Q3766-RECYCLED POLYESTER 100%-.-.,,Textiles/Fabric
F0000087,.-Q1005-NYLON 100%-.-.,,Textiles/Fabric
F0000088,.-Q1013-POLYESTER 100%-.-.,,Textiles/Fabric
F0000089,.-Q1110-POLYESTER 100%-.-.,,Textiles/Fabric
F0000090,.-Q1112-POLYESTER 100%-.-.,,Textiles/Fabric
F0000091,.-Q1120-POLYESTER 100%-.-.,,Textiles/Fabric
F0000092,"00968-P27830-POLYESTER 100%-VIRGIN YARN ,WIDTH 58/59"", 88GSM., YARN 75Dx75D, WR",,Textiles/Fabric
F0000093,".-KP-MESHPM0716-POLYESTER 100%- WIDTH 61/63""",,Textiles/Fabric
F0000094,"MTR-22008-POLYESTER 51% COTTON 43% SPANDEX 6%-QUICK DRY, 390GR/M2 52INCH",,Textiles/Fabric
F0000095,"MTR-22009-COTTON 57% POLYESTER 38% SPANDEX 5%-QUICK DRY, 390GR/M2 52INCH",,Textiles/Fabric
F0000096,RT1810188-POLYESTER 87% ELASTANE 13%-255GSM;385G/Y 63INCH,,Textiles/Fabric
F0000097,RT2106093-POLYESTER 90% ELASTANE 10%-260GSM;278G/Y 44INCH,,Textiles/Fabric
F0000098,RT2106222-POLYESTER 90% ELASTANE 10%-260GSM;278G/Y 44INCH,,Textiles/Fabric
F0000099,RT2112290-POLYESTER 87% ELASTANE 13%-255GSM;385G/Y 63INCH,,Textiles/Fabric
F0000100,.-SF0011-POLYESTER 100%-.-.,,Textiles/Fabric
F0000101,"GA0340K-305-COTTON 95% SPANDEX 5%-30SX30S, 90X68, 140GSM 54INCH",,Textiles/Fabric
F0000102,SF0011-POLYESTER 100%-150CM,,Textiles/Fabric
F0000103,"FVF5207QDMBS-6-POLYESTER 89% SPANDEX WICKING 11%-ANTI-BACTERI-129*80, 90D*170D+170D, 163GSM 53INCH",,Textiles/Fabric
